name,url,Alternative names,Affiliation,Distinction,Distinction(s),Eye colour,Feather colour,Feathers,Hair colour,Height of average adult,Known affected,Length of average adult,Ministry of Magic Classification,Mortality,Native to,Provoked by,Rarity,Related to,Sentience,Skin colour,Species,Status,Type,Wingspan of average adult
Spider,https://harrypotter.fandom.com/wiki/Spider,,,Eight legs and eyesPincersCarnivorousSome species venomousInstinctive and mortal fear of Basilisks,,Black,,,Varies,Varies,,Varies,Varies,Mortal,Worldwide,,,AcromantulaScorpion,,,,Extant,,
Black widow,https://harrypotter.fandom.com/wiki/Black_widow,,,Spins webs stronger than steelDistinct red markings,,Red,,,,,,,,Mortal,,,,Spider,,Black with red markings,,Extant,,
Brown Recluse,https://harrypotter.fandom.com/wiki/Brown_Recluse,,,Venomous,,,,,,,,,,Mortal,,,,Spider,,Brown,,Extant,,
Funnelweb spider,https://harrypotter.fandom.com/wiki/Funnelweb_spider,,,Massive fangsUgly appearancePoisonous bite,,Red,,,,,,,,Mortal,Worldwide,,,Spider,,YellowBlue-grey,,Extant,,
Redback spider,https://harrypotter.fandom.com/wiki/Redback_spider,,,Red colourationVenom can paralyse victims,,Red,,,,,,,,Mortal,,,,Spider,,Red,,Extant,,
Tarantula,https://harrypotter.fandom.com/wiki/Tarantula,,,Large spidersHairy bodiesVenomous fangs,,Black,,,Black and brown,,,,,Mortal,Worldwide,,,Spider,,,,Extant,,
Whitetail Spider,https://harrypotter.fandom.com/wiki/Whitetail_Spider,,,Large sizeLethal bite,,Black,,,,,,,,Mortal,,,,Spider,,Blue,,Extant,,
Toad,https://harrypotter.fandom.com/wiki/Toad,,Wizardkind,"Very similar to frogs, Bumpy, warty skin",,Various,,,,,,,,Mortal,,,,FrogsNewtsSalamandersBasilisks,,Various,,Extant,,
Common Toad,https://harrypotter.fandom.com/wiki/Common_Toad,,Magical Menagerie,Warty skin,,Black,,,,,,,,Mortal,British Isles,,,Toad,,Green to brown,,,,
Crested Toad,https://harrypotter.fandom.com/wiki/Crested_Toad,,Magical Menagerie,Upturned snout,,Golden,,,,,,,,Mortal,,,,Toad,,Sandy brown,,Extant,,
Harlequin Toad,https://harrypotter.fandom.com/wiki/Harlequin_Toad,,Magical Menagerie,Colourful markings,,Black,,,,,,,,Mortal,,,,Toad,,Bright yellowBlackRedGreen,,Extant,,
Horned toad,https://harrypotter.fandom.com/wiki/Horned_toad,,Magical Menagerie,Horned,,,,,,,,,,Mortal,,,,Toad,,,,Extant,,
Natterjack Toad,https://harrypotter.fandom.com/wiki/Natterjack_Toad,,Magical Menagerie,A yellow line down the middle of their backs,,,,,,,,,,Mortal,Europe,,,Toad,,Sandy yellow,,Extant,,
Western Green Toad,https://harrypotter.fandom.com/wiki/Western_Green_Toad,,Magical Menagerie,NocturnalSmall in size,,,,,,,,,,,,,,Toad,,Green or yellow with black spots,,Extant,,
Tropical bird,https://harrypotter.fandom.com/wiki/Tropical_bird,,Sirius Black,Tropical,,,Colourful,,,,,,,Mortal,Somewhere tropical,,,Bird,,,,Extant,,
Wasp,https://harrypotter.fandom.com/wiki/Wasp,,,Possesses venomous sting,,Blue,,,,,,,,Mortal,,,,Tarantula hawkBeeVampyr MospAnt,,"Yellow and black striped, purple around face",,Extant,,
Tarantula hawk,https://harrypotter.fandom.com/wiki/Tarantula_hawk,Tarantula hawk wasp,,Hunts tarantulasPoisonous,,Red,,,,,,,,Mortal,Worldwide,,,Wasp,,Red,,Extant,,
Wild Boar,https://harrypotter.fandom.com/wiki/Wild_Boar,,,Invasive species,,,,,Brown,,,,,Mortal,,,,Pig,,Pink,,Extant,,
Wolf,https://harrypotter.fandom.com/wiki/Wolf,,,,,Grey or red,,,"Grey, black or white",,,,,Mortal,,,,DogWerewolf,,,,Extant,,
The Grim (wolf),https://harrypotter.fandom.com/wiki/The_Grim_(wolf),,,,,Red,,,Black,,,,,,,,,,,,Wolf,,,
The White Wolf,https://harrypotter.fandom.com/wiki/The_White_Wolf,,,,,Red,,,White,,,,,,,,,,,,Wolf,,,
HarryPotter.com,https://harrypotter.fandom.com/wiki/Harry_Potter_(website),,,,,,,,,,,,,,,,,,,,,,,
HarryPotter.com,https://harrypotter.fandom.com/wiki/Harry_Potter_(website),,,,,,,,,,,,,,,,,,,,,,,
HarryPotter.com,https://harrypotter.fandom.com/wiki/Harry_Potter_(website),,,,,,,,,,,,,,,,,,,,,,,
HarryPotter.com,https://harrypotter.fandom.com/wiki/Harry_Potter_(website),,,,,,,,,,,,,,,,,,,,,,,
Harry Potter Trading Card Game,https://harrypotter.fandom.com/wiki/Harry_Potter_Trading_Card_Game,,,,,,,,,,,,,,,,,,,,,,,
HarryPotter.com,https://harrypotter.fandom.com/wiki/Harry_Potter_(website),,,,,,,,,,,,,,,,,,,,,,,
HarryPotter.com,https://harrypotter.fandom.com/wiki/Harry_Potter_(website),,,,,,,,,,,,,,,,,,,,,,,
HarryPotter.com,https://harrypotter.fandom.com/wiki/Harry_Potter_(website),,,,,,,,,,,,,,,,,,,,,,,
Pottermore,https://harrypotter.fandom.com/wiki/Pottermore,,,,,,,,,,,,,,,,,,,,,,,
